"","","","/表章項目","転入超過数【人】","転入超過数【人】","転入超過数【人】","転入超過数【人】","転入超過数【人】","転入超過数【人】","転入超過数【人】","転入超過数【人】","転入超過数【人】"
"","","","/性別","総数","総数","総数","男","男","男","女","女","女"
"国籍","時間軸（年次）","地域","/年齢","15～19歳","20～24歳","25～29歳","15～19歳","20～24歳","25～29歳","15～19歳","20～24歳","25～29歳"
"日本人移動者","2021年","東村山郡","","-36","-66","-12","-23","-35","-3","-13","-31","-9"
"日本人移動者","2021年","西村山郡","","-80","-143","-68","-43","-71","-28","-37","-72","-40"
"日本人移動者","2021年","北村山郡","","-17","-29","-9","-9","-15","-2","-8","-14","-7"
"日本人移動者","2021年","最上郡","","-105","-138","-37","-63","-50","-11","-42","-88","-26"
"日本人移動者","2021年","東置賜郡","","-105","-44","-21","-56","-14","-10","-49","-30","-11"
"日本人移動者","2021年","西置賜郡","","-51","-72","-32","-26","-19","-27","-25","-53","-5"
"日本人移動者","2021年","東田川郡","","-92","-20","-13","-52","-15","-7","-40","-5","-6"
"日本人移動者","2021年","飽海郡","","-43","-31","-24","-18","-17","-17","-25","-14","-7"
"日本人移動者","2021年","福島県市部","","-1,088","-2,506","-281","-473","-968","-219","-615","-1,538","-62"
"日本人移動者","2021年","福島県郡部","","-642","-1,008","-326","-296","-402","-155","-346","-606","-171"
"日本人移動者","2021年","福島市","","70","-460","-49","64","-250","-81","6","-210","32"
"日本人移動者","2021年","会津若松市","","-137","-270","-48","-60","-91","2","-77","-179","-50"
"日本人移動者","2021年","郡山市","","-36","-357","-31","62","-99","-20","-98","-258","-11"
"日本人移動者","2021年","いわき市","","-403","-471","-27","-224","-169","-42","-179","-302","15"
"日本人移動者","2021年","白河市","","-40","-136","-20","-25","-59","-12","-15","-77","-8"
"日本人移動者","2021年","須賀川市","","-113","-184","-33","-69","-66","-23","-44","-118","-10"
"日本人移動者","2021年","喜多方市","","-105","-90","7","-51","-34","-4","-54","-56","11"
"日本人移動者","2021年","相馬市","","-36","-56","-29","-13","-15","-41","-23","-41","12"
"日本人移動者","2021年","二本松市","","-52","-135","-3","-29","-67","10","-23","-68","-13"
"日本人移動者","2021年","田村市","","-48","-109","-66","-21","-51","-32","-27","-58","-34"
"日本人移動者","2021年","南相馬市","","-63","-46","4","-34","8","-2","-29","-54","6"
"日本人移動者","2021年","伊達市","","-79","-180","-7","-45","-82","18","-34","-98","-25"
"日本人移動者","2021年","本宮市","","-46","-12","21","-28","7","8","-18","-19","13"
"日本人移動者","2021年","伊達郡","","-51","-106","-38","-31","-27","-23","-20","-79","-15"
"日本人移動者","2021年","安達郡","","-15","-5","2","-6","-3","4","-9","-2","-2"
"日本人移動者","2021年","岩瀬郡","","-23","-39","-10","-2","-19","-15","-21","-20","5"
"日本人移動者","2021年","南会津郡","","-76","-73","-26","-35","-15","-14","-41","-58","-12"
"日本人移動者","2021年","耶麻郡","","-62","-88","-9","-36","-28","-6","-26","-60","-3"
"日本人移動者","2021年","河沼郡","","-54","-90","-15","-31","-41","-8","-23","-49","-7"
"日本人移動者","2021年","大沼郡","","-41","-79","-32","-11","-46","-18","-30","-33","-14"
"日本人移動者","2021年","西白河郡","","-73","-66","17","-22","-39","3","-51","-27","14"
