"","","/都市間移動者数・その他","転入超過数","転入超過数","転入超過数","転入超過数","転入超過数","転入超過数","転入超過数","転入超過数","転入超過数"
"","","/性別","総数","総数","総数","男","男","男","女","女","女"
"国籍","全国・都道府県・市区町村2018～","/年齢","15～19歳","20～24歳","25～29歳","15～19歳","20～24歳","25～29歳","15～19歳","20～24歳","25～29歳"
"日本人移動者","栃木県市部","","-479","-1,474","-159","-272","-278","46","-207","-1,196","-205"
"日本人移動者","栃木県郡部","","-183","-244","-223","-81","-26","-146","-102","-218","-77"
"日本人移動者","宇都宮市","","-95","371","498","-20","383","286","-75","-12","212"
"日本人移動者","足利市","","-100","-244","-117","-49","-88","-52","-51","-156","-65"
"日本人移動者","栃木市","","-28","-215","-84","-7","-104","-18","-21","-111","-66"
"日本人移動者","佐野市","","-36","-173","-57","-46","-56","-26","10","-117","-31"
"日本人移動者","鹿沼市","","-66","-180","-54","-32","-72","-10","-34","-108","-44"
"日本人移動者","日光市","","-62","-218","-129","-42","-101","-60","-20","-117","-69"
"日本人移動者","小山市","","23","-170","38","24","-43","61","-1","-127","-23"
"日本人移動者","真岡市","","-49","-41","0","-23","10","0","-26","-51","0"
"日本人移動者","大田原市","","-23","-156","-81","-18","-40","-35","-5","-116","-46"
"日本人移動者","矢板市","","-33","-74","-34","-24","-28","-37","-9","-46","3"
"日本人移動者","那須塩原市","","-86","-99","-34","-47","-27","-2","-39","-72","-32"
"日本人移動者","さくら市","","-8","-46","33","4","-24","16","-12","-22","17"
"日本人移動者","那須烏山市","","-49","-71","-42","-32","-26","-18","-17","-45","-24"
"日本人移動者","下野市","","133","-158","-96","40","-62","-59","93","-96","-37"
"日本人移動者","河内郡","","1","-7","-4","6","-5","-1","-5","-2","-3"
"日本人移動者","芳賀郡","","-71","-119","-66","-27","-61","-36","-44","-58","-30"
"日本人移動者","下都賀郡","","-39","-78","-24","-25","-29","-11","-14","-49","-13"
"日本人移動者","塩谷郡","","-7","99","-41","1","121","-53","-8","-22","12"
"日本人移動者","那須郡","","-67","-139","-88","-36","-52","-45","-31","-87","-43"
"日本人移動者","群馬県市部","","-183","-2,312","-333","25","-1,081","-191","-208","-1,231","-142"
"日本人移動者","群馬県郡部","","-66","-744","-403","-43","-324","-219","-23","-420","-184"
"日本人移動者","前橋市","","-50","-369","-89","-27","-159","-99","-23","-210","10"
"日本人移動者","高崎市","","211","-463","134","127","-300","91","84","-163","43"
"日本人移動者","桐生市","","-56","-285","-205","-27","-140","-103","-29","-145","-102"
"日本人移動者","伊勢崎市","","69","0","241","104","-1","140","-35","1","101"
