year,place,total_15_19,total_20_24,total_25_29,m_15_19,m_20_24,m_25_29,f_15_19,f_20_24,f_25_29,city_county
2016,新庄市,-48.0,-101.0,15.0,-24.0,-61.0,8.0,-24.0,-40.0,7.0,city
2016,寒河江市,-60.0,-66.0,4.0,-37.0,-9.0,0.0,-23.0,-57.0,4.0,city
2016,上山市,-35.0,-55.0,-5.0,-19.0,-12.0,-9.0,-16.0,-43.0,4.0,city
2016,村山市,-23.0,-78.0,-59.0,-13.0,-30.0,-38.0,-10.0,-48.0,-21.0,city
2016,長井市,-39.0,-74.0,-24.0,-23.0,-44.0,-3.0,-16.0,-30.0,-21.0,city
2016,天童市,-62.0,-68.0,84.0,-44.0,-16.0,47.0,-18.0,-52.0,37.0,city
2016,東根市,36.0,-72.0,-21.0,43.0,-50.0,-29.0,-7.0,-22.0,8.0,city
2016,尾花沢市,-42.0,-51.0,-33.0,-23.0,-21.0,-14.0,-19.0,-30.0,-19.0,city
2016,南陽市,-47.0,-47.0,-8.0,-17.0,-21.0,-10.0,-30.0,-26.0,2.0,city
2016,東村山郡,-29.0,-58.0,-6.0,-21.0,-33.0,8.0,-8.0,-25.0,-14.0,county
2016,西村山郡,-59.0,-93.0,-36.0,-33.0,-57.0,-15.0,-26.0,-36.0,-21.0,county
2016,北村山郡,-17.0,-33.0,-9.0,-13.0,-20.0,-5.0,-4.0,-13.0,-4.0,county
2016,最上郡,-131.0,-143.0,-34.0,-73.0,-64.0,-23.0,-58.0,-79.0,-11.0,county
2016,東置賜郡,-59.0,-91.0,-33.0,-40.0,-38.0,-14.0,-19.0,-53.0,-19.0,county
2016,西置賜郡,-74.0,-74.0,-25.0,-35.0,-25.0,-10.0,-39.0,-49.0,-15.0,county
2016,東田川郡,-72.0,-26.0,29.0,-32.0,1.0,24.0,-40.0,-27.0,5.0,county
2016,飽海郡,-42.0,-29.0,-8.0,-25.0,-7.0,-7.0,-17.0,-22.0,-1.0,county
2016,福島市,-36.0,-544.0,-81.0,-4.0,-218.0,-54.0,-32.0,-326.0,-27.0,city
2016,会津若松市,-207.0,-169.0,28.0,-101.0,-52.0,22.0,-106.0,-117.0,6.0,city
2016,郡山市,-41.0,-276.0,23.0,2.0,-111.0,40.0,-43.0,-165.0,-17.0,county
2016,いわき市,-314.0,-366.0,16.0,-138.0,-119.0,49.0,-176.0,-247.0,-33.0,city
2016,白河市,-63.0,-117.0,-2.0,-18.0,-55.0,-9.0,-45.0,-62.0,7.0,city
2016,須賀川市,-77.0,-192.0,-14.0,-39.0,-109.0,3.0,-38.0,-83.0,-17.0,city
2016,喜多方市,-113.0,-77.0,-2.0,-59.0,-21.0,6.0,-54.0,-56.0,-8.0,city
2016,相馬市,-40.0,-38.0,14.0,-13.0,-5.0,21.0,-27.0,-33.0,-7.0,city
2016,二本松市,-102.0,-124.0,-37.0,-67.0,-46.0,-12.0,-35.0,-78.0,-25.0,city
2016,田村市,-45.0,-89.0,-42.0,-26.0,-32.0,-24.0,-19.0,-57.0,-18.0,city
2016,南相馬市,-115.0,-63.0,-9.0,-59.0,-9.0,7.0,-56.0,-54.0,-16.0,city
2016,伊達市,-75.0,-181.0,-42.0,-47.0,-67.0,-15.0,-28.0,-114.0,-27.0,city
2016,本宮市,-30.0,-56.0,-6.0,-15.0,-16.0,-11.0,-15.0,-40.0,5.0,city
2016,伊達郡,-16.0,-127.0,-22.0,-23.0,-52.0,-14.0,7.0,-75.0,-8.0,county
2016,安達郡,-4.0,-1.0,30.0,-4.0,-4.0,19.0,0.0,3.0,11.0,county
2016,岩瀬郡,-12.0,-39.0,-12.0,-7.0,-20.0,-9.0,-5.0,-19.0,-3.0,county
2016,南会津郡,-61.0,-88.0,-14.0,-23.0,-37.0,-4.0,-38.0,-51.0,-10.0,county
2016,耶麻郡,-63.0,-66.0,-18.0,-37.0,-18.0,-9.0,-26.0,-48.0,-9.0,county
2016,河沼郡,-43.0,-82.0,-30.0,-21.0,-42.0,-11.0,-22.0,-40.0,-19.0,county
2016,大沼郡,-19.0,-56.0,-28.0,-5.0,-22.0,-10.0,-14.0,-34.0,-18.0,county
2016,西白河郡,-29.0,-67.0,31.0,-21.0,-18.0,4.0,-8.0,-49.0,27.0,county
2016,東白川郡,-65.0,-85.0,-25.0,-29.0,-32.0,-16.0,-36.0,-53.0,-9.0,county
2016,石川郡,-56.0,-115.0,-71.0,-31.0,-42.0,-26.0,-25.0,-73.0,-45.0,county
2016,田村郡,-21.0,-84.0,-2.0,-15.0,-26.0,-2.0,-6.0,-58.0,0.0,county
2016,双葉郡,-40.0,-138.0,-71.0,-18.0,-67.0,-16.0,-22.0,-71.0,-55.0,county
2016,相馬郡,-13.0,-42.0,8.0,-8.0,-17.0,-4.0,-5.0,-25.0,12.0,county
2016,水戸市,-44.0,55.0,164.0,-60.0,51.0,77.0,16.0,4.0,87.0,city
2016,日立市,-66.0,-273.0,-328.0,4.0,-69.0,-212.0,-70.0,-204.0,-116.0,city
2016,土浦市,17.0,48.0,-47.0,-13.0,59.0,-42.0,30.0,-11.0,-5.0,city
2016,古河市,17.0,-123.0,-103.0,10.0,-49.0,-29.0,7.0,-74.0,-74.0,city
2016,石岡市,-66.0,-165.0,-44.0,-30.0,-48.0,-13.0,-36.0,-117.0,-31.0,city
2016,結城市,-12.0,-78.0,0.0,-3.0,-46.0,1.0,-9.0,-32.0,-1.0,city
